FECHA_CORTE;ANIO;MES;ID_CLASE;CLASE;ID_CATEGORIA;CATEGORIA;DEPARTAMENTO;ID_UBIGEO;NUMERO_ESTABLECIMIENTOS;NUMERO_HABITACIONES;NUMERO_PLAZAS_CAMA;PORCENTAJE_TNOH;PORCENTAJE_TNOC;PROMEDIO_PERMANENCIA;PROMEDIO_PERMANENCIA_NAC;PROMEDIO_PERMANENCIA_EXT;TOTAL_ARRIBOS;TOTAL_ARRIBOS_NAC;TOTAL_ARRIBOS_EXT;TOTAL_PERNOCT;TOTAL_PERNOCT_NAC;TOTAL_PERNOCT_EXT;TOTAL_EMPLEO
20260330;2024;05;TT;TODAS CONSOLIDADAS;01;1 ESTRELLA;APURÍMAC;030000;7;176;265;36.73;36.17;1.05;1.05;0;2821;2821;0;2971;2971;0;24
20260330;2024;05;TT;TODAS CONSOLIDADAS;01;1 ESTRELLA;AREQUIPA;040000;58;1002;1578;27.5;23.09;1.12;1.12;1.16;10056;9589;467;11294;10752;542;172
20260330;2024;05;TT;TODAS CONSOLIDADAS;01;1 ESTRELLA;AYACUCHO;050000;23;399;717;4.48;10.26;1.66;1.66;0;1378;1378;0;2281;2281;0;66
20260330;2024;05;TT;TODAS CONSOLIDADAS;01;1 ESTRELLA;CAJAMARCA;060000;28;541;898;18.39;12.54;1.19;1.19;1;2928;2922;6;3491;3485;6;100
20260330;2024;05;TT;TODAS CONSOLIDADAS;01;1 ESTRELLA;CALLAO;070000;8;159;301;52.13;48.83;1.03;1.02;1.25;4739;4356;383;4904;4424;480;29
20260330;2024;05;TT;TODAS CONSOLIDADAS;01;1 ESTRELLA;CUSCO;080000;29;543;901;21.56;18.6;1.09;1.09;1.43;4769;4748;21;5196;5166;30;79
20260330;2024;05;TT;TODAS CONSOLIDADAS;01;1 ESTRELLA;HUANCAVELICA;090000;2;66;94;17.64;12.73;1.01;1.01;0;366;366;0;371;371;0;5
20260330;2024;05;TT;TODAS CONSOLIDADAS;01;1 ESTRELLA;HUÁNUCO;100000;33;601;905;36.9;32.95;1.41;1.41;0;6563;6563;0;9243;9243;0;100
20260330;2024;05;TT;TODAS CONSOLIDADAS;01;1 ESTRELLA;ICA;110000;24;348;544;31.66;24.06;1;1;1;4058;4036;22;4058;4036;22;60
20260330;2024;05;TT;TODAS CONSOLIDADAS;01;1 ESTRELLA;JUNÍN;120000;17;391;769;18.27;12.49;1.26;1.26;0;2372;2372;0;2977;2977;0;51
20260330;2024;05;TT;TODAS CONSOLIDADAS;01;1 ESTRELLA;LA LIBERTAD;130000;31;487;849;22;18.88;1;1;1;4969;4934;35;4969;4934;35;85
20260330;2024;05;TT;TODAS CONSOLIDADAS;01;1 ESTRELLA;LAMBAYEQUE;140000;18;289;390;16.74;15.74;1.02;1.02;0;1857;1857;0;1903;1903;0;53
20260330;2024;05;TT;TODAS CONSOLIDADAS;01;1 ESTRELLA;LIMA;150000;88;2002;3530;35.56;30.02;1.24;1.23;1.58;32983;32144;839;40978;39654;1323;406
20260330;2024;05;TT;TODAS CONSOLIDADAS;01;1 ESTRELLA;LORETO;160000;6;104;168;14.95;13.48;1.57;1.59;1.35;446;423;23;702;671;31;26
20260330;2024;05;TT;TODAS CONSOLIDADAS;01;1 ESTRELLA;MADRE DE DIOS;170000;7;198;359;24.14;18.47;1.01;1.01;1;2033;1943;90;2055;1965;90;34
20260330;2024;05;TT;TODAS CONSOLIDADAS;01;1 ESTRELLA;MOQUEGUA;180000;22;350;575;13.57;10.08;1.44;1.43;1.63;1247;1212;35;1796;1739;57;64
20260330;2024;05;TT;TODAS CONSOLIDADAS;01;1 ESTRELLA;PASCO;190000;26;515;768;21.78;17.25;1.08;1.08;0;3796;3796;0;4107;4107;0;82
20260330;2024;05;TT;TODAS CONSOLIDADAS;01;1 ESTRELLA;PIURA;200000;5;96;158;11.49;15.11;1.33;1.34;1;555;552;3;740;737;3;17
20260330;2024;05;TT;TODAS CONSOLIDADAS;01;1 ESTRELLA;PUNO;210000;36;562;989;18.16;15.28;1.13;1.13;1.09;4164;3966;198;4686;4471;215;87
20260330;2024;05;TT;TODAS CONSOLIDADAS;01;1 ESTRELLA;SAN MARTÍN;220000;7;146;229;23.86;25.92;1.23;1.23;1;1499;1494;5;1840;1835;5;32
